"Reference","Title","Obligation","Requirement","Rationale","Informative Note","Compliance Note","Filters","Complete"
"FF-41601","[Must Support & Obligation] Obligation & Must Support","Mandatory","<div>If the specification uses&#160;<i>obligation</i>,&#160;then the&#160;<i>obligation&#160;</i><b>SHALL</b>&#160;be&#160;accompanied by an explicit&#160;<i>must-support&#160;</i>flag.&#160;</div>","<div><ul><li>Adding obligations to FHIR resources underpins conformance check and promotes semantic consistency.&#160;</li><li>By enforcing consistent data structures and mandatory fields, obligations make it easier for systems to exchange and interpret data reliably enabling automated validation.&#160;</li><li>Flagging an element with Must Support introduces conformance requirement&#160;for the use case in some&#160;meaningful&#160;way&#160;and clarifies&#160;how a system should produce or consume resources to support that element.&#160;</li></ul></div><div>
</div>","<div><ul><li>Obligation is&#160;fairly new&#160;concept in FHIR and being adopted Nationally and Internationally to as a better approach to specify conformance requirement for system behaviour.&#160;</li><li>Use the&#160;<a href=""https&#58;//hl7.org/fhir/extensions/StructureDefinition-obligation.html"">obligation extensio</a>n and use case aligned&#160;<a href=""https&#58;//hl7.org/fhir/extensions/CodeSystem-obligation.html"">obligation code</a>.&#160;</li><li>Must Support along with related obligation provides clarify on the conformance requirements</li></ul></div><div class=""ExternalClass58F408F6AEB24CD2BA381BE198216FF0""><div>
</div></div>",,"[""Implementation Guide"",""Must Support""]","Yes"
"FF-41602","[Must Support & Obligation] Obligation Actor","Mandatory","<div><ul><li>The specification&#160;<b>SHALL</b>&#160;define all the actors as applicable&#160;to&#160;the use case.&#160;</li><li>The specification&#160;<b>SHALL</b>&#160;define obligations&#160;for all actors&#160;as&#160;applicable.&#160;</li></ul></div><div>
</div>","<div></div><div>Defining use case specific actors&#160;helps in&#160;clarify&#160;whether and how&#160;the obligation applies to the data sender, receiver, or both and&#160;reflects the real-world&#160;roles of these systems.&#160;&#160;</div><div class=""ExternalClassC119393C33A3472D8DE35E3F0E8199B7""><div><div></div></div><div>
</div></div>","<div>Actors related to obligation are specified using an&#160;<i>ActorDefinition</i>&#160;resource.&#160;
</div>",,"[""Implementation Guide"",""Must Support"",""Actor""]","Yes"
"FF-41701","[Missing Data & Suppressed Data] Support for Missing Data","Mandatory","<div>Support for missing data (i.e. where implementers are unable to provide a value for a mandatory or conditionally mandatory data element)&#160;<b>SHALL</b>&#160;be based solely on the&#160;corresponding&#160;business and information requirements&#160;which the specification is based upon.&#160;
</div>","<div>The Agency’s FHIR Specifications provide&#160;implementable&#160;technical specifications for well understood business and clinical use cases&#160;and&#160;their supporting technical documentation.&#160;These use cases are&#160;very likely&#160;to be sensitive to any missing data on the overall solution being supported.&#160;Accordingly,&#160;it is not up to teams responsible for developing the FHIR Specification&#160;to decide how and where missing data should be supported.&#160;
</div>","<div>Teams responsible for developing FHIR Specifications are encouraged to ensure&#160;teams responsible for business and information requirements&#160;are aware of&#160;available&#160;approaches to supporting&#160;missing&#160;data in FHIR.&#160;&#160;
</div>",,"[""Implementation Guide"",""Missing Data""]","Yes"
"FF-41702","[Missing Data & Suppressed Data] Missing Data Support in Dependencies","Mandatory","<div>Specifications which depend on other FHIR specifications (or Implementation Guides) which support approaches for missing data need to explicitly clarify&#160;whether these approaches are supported or not thus ensuring alignment with the corresponding business requirements for the specification.&#160;
</div>","<div>To ensure no ambiguity between the Agency’s FHIR Specifications and ones which may be adopted as dependencies, the overall position of the specification in relation to missing data must be made explicit and clear to implementers.&#160;
</div>",,,"[""Implementation Guide"",""Missing Data""]","Yes"
"FF-41703","[Missing Data & Suppressed Data] Support for Suppressed Data","Mandatory","<div>Support for&#160;suppressed&#160;data (i.e. where implementers&#160;need to&#160;exclude a value for a&#160;data element&#160;e.g. for privacy reasons)<b> SHALL </b>be based solely on the corresponding business and information requirements which the specification is based upon.&#160;
</div>","<div>The Agency’s FHIR Specifications provide implementable technical specifications for well understood business and clinical use cases and their supporting technical documentation. These use cases are very likely to be sensitive to any&#160;suppressed&#160;data on the overall solution being supported. Accordingly, it is not up to teams responsible for developing the FHIR Specification to decide how and where&#160;suppressed&#160;data should be supported.&#160;
</div>","<div>Teams responsible for developing FHIR Specifications&#160;are encouraged&#160;to ensure teams responsible for business and information requirements are aware of available approaches to supporting&#160;suppressed&#160;data in FHIR.&#160;&#160;
</div>",,"[""Implementation Guide"",""Missing Data""]","Yes"
"FF-41704","[Missing Data & Suppressed Data] Suppressed Data Support in Dependencies","Mandatory","<div>Specifications which depend on other FHIR specifications (or Implementation Guides) which support approaches for&#160;suppressed&#160;data need to explicitly clarify whether these approaches are supported or not thus ensuring alignment with the corresponding business requirements for the specification.&#160;
</div>","<div>To ensure no ambiguity between the Agency’s FHIR Specifications and ones which may be adopted as dependencies, the overall position of the specification in relation to&#160;suppressed&#160;data must be made explicit and clear to implementers.&#160;
</div>",,,"[""Implementation Guide"",""Missing Data"",""Dependency""]","Yes"
"FF-41801","[Use of Terminology] Re-use of Existing Terminology","Recommended","<div>The specification&#160;<b>SHOULD</b>&#160;leverage&#160;existing terminologies&#160;publicly&#160;available Nationally&#160;or&#160;Internationally.
</div>","<div>Reusing existing terminologies (<i>ValueSets</i>&#160;and<i>&#160;CodeSystems</i>)&#160;eliminates&#160;duplication and enhances interoperability.&#160;
</div>","<div>Provide rationale if there is a deviation from this policy and, for any reason, a new terminology artifact needs to be created instead of reusing an existing one.&#160;
</div>",,"[""Terminology"",""Value Set"",""Code System"",""Recommendation""]","Yes"
"FF-41804","[Use of Terminology] Preferred Binding Strength ","Mandatory","</div><div>Binding strength ‘preferred’&#160;<b>SHALL</b>&#160;be used under the following conditions&#58;&#160;</div><div>If the parent Implementation Guide specifies the binding strength as ‘preferred’ and the derived Implementation Guide does not introduce any&#160;additional&#160;constraints, the binding&#160;remains&#160;at the ‘preferred’ level.&#160;</div><div class=""ExternalClass7BBB33F95E9544FBA49FEC328A7FD5F1""><p><b style=""color&#58;rgb(200, 38, 19);""></b></p>

","<div>This&#160;policy&#160;ensures consistency with the parent&#160;IG&#160;while allowing implementers flexibility in selecting&#160;appropriate codes, as ‘preferred’ bindings are recommendations rather than strict requirements.&#160;<br></div>","<div>If a biding is defined as ‘preferred’ in AU Core and the use case in the derived agency IG&#160;doesn’t&#160;imposes any further restrictions, then use ‘preferred’ in the derived IG.&#160;<br></div>",,"[""Terminology"",""Value Set"",""Code System""]","Yes"
"FF-41805","[Use of Terminology] Example Binding Strength","Recommended","<div>The specification&#160;<b>SHALL&#160;NOT</b>&#160;use “example” binding strength.
</div>","<div>Binding strength ‘example’&#160;provides no enforceable constraint on terminology, leading to inconsistent implementations, poor interoperability, and lack of conformance validation.&#160;
</div>","<div>Appropriate binding strengths&#160;such as&#160;required,&#160;extensible, or&#160;preferred&#160;must be applied based on the use case to ensure semantic consistency and predictable data exchange.&#160;
</div>",,"[""Terminology"",""Value Set"",""Code System""]","Yes"
"FF-41806","[Use of Terminology] Use of Code System Supplement ","Recommended","<div>The specification<b>&#160;SHOULD&#160;</b>consider using&#160;CodeSystem&#160;supplement&#160;to&#160;define any&#160;additional&#160;designations, relationships, and/or properties for the codes of any existing&#160;CodeSystem. &#160;
</div>","<div>This helps&#160;supporting&#160;the&#160;followings&#58;&#160;</div><div><ul><li>Add support for&#160;additional&#160;languages&#160;</li><li>Add properties&#160;for user interfaces, priorities and ordering etc.&#160;</li></ul></div><div>
</div>","<div>Here is the HL7&#160;Link on Supplement&#58;&#160;<a href=""https&#58;//hl7.org/fhir/R4/codesystem.html%22%20/l%20%22supplements"">CodeSystem&#160;- FHIR v4.0.1</a>&#160;</div>",,"[""Terminology"",""Value Set"",""Code System"",""Recommendation""]","Yes"
"FF-41901","[Use of Invariants] Invariant Id","Mandatory","<div>The [name] of the&#160;invariant&#160;SHALL&#160;follow the&#160;format&#58;&#160;inv-[sequence-number]-[element-name(optional)]-[short-name]&#160;</div><div>Where&#58;&#160;</div><div>[sequence-number]&#58; Invariant&#160;sequence number&#160;for the resource in context&#160;</div><div>[element-name(optional)]&#58;&#160;name of the element of the FHIR resource in case multiple invariants are applicable.&#160;&#160;</div><div>[short-name]&#58; an&#160;abbreviations or acronyms&#160;focusing on&#160;the invariant’s context&#160;&#160;</div><div><br></div>","<div>A consistent naming pattern for&#160;invariants used in the specification&#160;promotes improved readability and interoperability.&#160;<br></div>",,,"[""Invariant""]","Yes"
"FF-41902","[Use of Invariants] Use of FHIRPath","Mandatory",,"<div>Explicitly&#160;identifying&#160;the version of&#160;FHIRPath&#160;used in this specification is essential to ensure consistent interpretation,&#160;validation&#160;and evaluation of expressions across implementations.&#160;<br><br></div><div>Without clear&#160;understanding on the&#160;FHIRPath&#160;versioning, implementers may apply incorrect logic, leading to interoperability issues and inconsistent results.&#160;&#160;</div><div><br></div>","<div>Highlight&#160;the&#160;FHIRPath&#160;version on the Home Page&#160;as a dependency&#160;to&#160;provide transparency&#160;to the implementers.&#160;<br></div>",,"[""Invariant"",""FHIRPath""]","Yes"
"FF-42001","[IG Template & Menu Items] IG Template","Mandatory","<div>All Implementation Guide (IG)&#160;projects&#160;<b>SHALL</b>&#160;apply the Agency approved IG template.&#160;
</div>","<div>To ensure uniformities are&#160;maintained&#160;across all&#160;Agency developed&#160;IGs&#160;and&#160;alignment&#160;to the framework&#160;is enforced.&#160;<br></div>",,,"[""Implementation Guide"",""Template""]","Yes"
"FF-42002","[IG Template & Menu Items] Plain Language Descriptions","Mandatory","</div></div><div>All Implementation Guide (IG) projects&#160;<b>SHALL</b>&#160;provide a&#160;non-technical&#160;plain language description of the IG which&#160;summarises&#160;the&#160;purpose&#160;of the&#160;IG.&#160;</div><div>","<div>The purpose of the plain language description is to clearly communicate the purpose of the IG to readers of all&#160;levels&#160;of understanding.&#160;</div><div>
</div>",,,"[""Implementation Guide"",""Template""]","Yes"
"FF-42003","[IG Template & Menu Items] Menu Items","Mandatory","<div></div></div><div>All Implementation Guide (IG)&#160;projects<b>&#160;SHALL</b>&#160;include&#160;the following&#160;top level&#160;menu items.&#160;<br>Additional&#160;menu items can be added based on the requirement from specific use case.&#160;</div><div><ul><li>Home&#58; Provide&#160;details on&#160;purpose,&#160;introduction, background&#160;and&#160;how to navigate the different section&#160;of&#160;Implementation&#160;Guide&#160;&#160;</li><li>Conformance&#160;&#58;&#160;Provide&#160;technical&#160;conformance requirements related to&#160;obligation, missing data,&#160;must-support.&#160;</li><li>Guidance&#58;&#160;General&#160;guidance on&#160;some concepts specifically used in the&#160;Implementation Guide&#160;</li><li>Security and Privacy&#160;</li><li>FHIR&#160;Artefacts&#160;&#58;&#160;List down all the key FHIR artefacts (e.g.&#58; Profiles,&#160;Extension, Terminologies&#160;etc). Provide a sub menu for each conformance resource&#160;type&#160;used in the&#160;IG.&#160;</li><li>Examples&#58; A dedicated&#160;menu&#160;for listing all the&#160;examples used in the IG.&#160;</li><li>Support&#58;&#160;Provide&#160;option&#160;to download the IG as a package&#160;and&#160;summarise any licencing details&#160;</li><li>Change Log&#58; provide a change log as per the&#160;policy statement&#58; “Resource change history”.&#160;Where applicable,&#160;provide&#160;a&#160;cross-version&#160;comparisons&#160;summary.&#160;</li></ul></div><div class=""ExternalClassCB70219EAF0243FA935DAB7ED387967E""><div><div></div></div><div style=""font-family&#58;Calibri, Arial, Helvetica, sans-serif;font-size&#58;11pt;color&#58;rgb(50, 49, 48);background-color&#58;transparent;"">
</div>","<div>Maintaining a consistent list of menu items improves readability&#160;for implementers&#160;and&#160;ensures&#160;seamless navigation across the various sections of the Implementation Guides&#160;published by the Agency.&#160;<br></div>","<div>Depending on the use case, the project team responsible for publishing the Implementation Guide may&#160;add&#160;additional&#160;sections and&#160;subsections within the menu items outlined above.&#160;<br></div>",,"[""Implementation Guide"",""Convention""]","Yes"
